ordId;question;Comments;CorrectAnswer;a;b;c;sound;photo;questionId
1;Pour freiner, je pousse normalement;Le frein pour freiner.;A;D’abord sur la pédale de frein;D’abord sur la pédale d’embrayage;En même temps sur les pédales de frein et d’embrayage;1144.mp3;511142;1144
2;Ce signal routier signifie interdiction d'utiliser le cruise control ou régulateur de vitesse de croisière;Définition du signal : fin d'interdiction;B;Oui;Non;;3804.mp3;366006;3804
3;L'Utilisation de l'airconditionné augmente la consommation de carburant;Tout ce qui consomme de l'électricité augmante la consommation de carburant;A;Oui;Non;;3805.mp3;366007;3805
4;Enfant de 10 ans mesurant 1,45m. Comment faut-il le transporter ?;A partir de 1,35m, un système de retenue n'est plus obligatoire.;C;A;B;A ou B;3806.mp3;366011;3806
5;La circulation est fortement ralentie. une bande de circulation prend fin. Le principe de la tirette doit s'appliquer ;Afin de profiter des deux bandes le plus longtemps possible;A;Juste devant le rétrécissement;Le plus tôt possible;;3807.mp3;366008;3807
6;Incendie dans un tunnel;Laissez la clef sur le contact pour les services de secours et dirigez-vous vers l'issue de secours du côté opposé à l'incendie;A;Je me dirige vers l'issue de secours;Je ferme la voiture à clef et me dirige vers l'issue de secours;J'attends les secours dans le véhicule en fermant les fenêtres;3808.mp3;366009;3808
7;Ce signal routier limite ma vitesse durant 200 mètres;La limitation commence dans 200 m;B;Oui;Non;;3809.mp3;366010;3809
8;Dans quel sens faut-il serrer les boulons d'une roue;Dans le sens des aiguilles d'une montre;A;A;B;;3102.mp3;666101;3102
9;Moteur Diesel. A quel régime moteur convient-il de changer de rapport;2000 tours/minute avec un moteur Diesel, 2500 tours/minute avec un moteur essence;B;1000;2000;3500;3105.mp3;450042;3105
10;L'ESP est un système;ESP système antidérapant destiné à améliorer le contrôle de trajectoire. ABS système qui évite le blocage des roues au freinage;B;Qui évite le blocage des roues au freinage;D'antidérapage;;3106.mp3;917000;3106
11;J'achète une nouvelle voiture. Sa consommation est de 6 litres pour 100 km. Cette consommation est;Moyenne;B;Ecologique;Moyenne;Pas écologique;3107.mp3;511065;3107
12;Accident avec blessé. Je pense d'abord à;Votre sécurité avant tout;A;Ma sécurité;La sécurité des blessés;La sécurité de la circulation;3109.mp3;666103;3109
13;Forte pluie. Je peux utiliser les feux de brouillard avant lorsque je suis un véhicule à moins de 50 mètres;Seuls les feux de route sont interdits lorsque vous suivez un autre véhicule à moins de 50 mètres;A;Oui;Non;;3110.mp3;100035;3110
14;Je circule plus vite que le véhicule sur la bande centrale. Je peux le remonter par la droite;Le trafic est fluide. Remonter ce véhicule par la droite revient à dépasser;B;Oui;Non;;3111.mp3;666104;3111
15;Je peux emprunter cette voie publique;C'est une zone piétonne;C;Oui;Oui, pour y faire une livraison;Non;3112.mp3;666105;3112
16;Suite à un accident de roulage, puis-je encore apporter des modifications à la face avant du constat une fois rentré à la maison;Vous pouvez cependant ajouter une explication en annexe ou sur la face arrière.;B;Oui;Non;;3201.mp3;643002;3201
17;L'utilisation d'un kit main libre en conduisant est;Car vous serez moins attentif à la circulation.;B;Autorisé;Autorisé mais dangereux;Interdit;3203.mp3;222002;3203
18;Quel est le rôle de l'huile moteur;L'huile élimine également les particules métalliques;C;Lubrifier le moteur;Nettoyer le moteur;Les deux;3204.mp3;120013;3204
19;Je peux dépasser le cycliste;Dans une rue cyclable, le dépassement des cyclistes est interdit;C;Oui;Oui, mais à 30 Km/h maximum;Non;8302.mp3;366002;8302
20;Je désire tourner à gauche dans ce carrefour. Le conducteur venant en sens inverse tourne également à gauche.;Toujours croiser par la droite, afin d'effectuer le virage largement, et de ne pas avoir la vue masquée.;B;Je dois le croiser par la gauche;Je dois le croiser par la droite;Je peux choisir, par la droite ou par la gauche;1025.mp3;917025;1025
21;Pour appeler les secours dans un tunnel, il est préférable d'utiliser;Pour les problèmes de réseau et pour être exactement localisé par la chambre de contrôle.;B;Un GSM;Une borne d'appel d'urgence;;3403.mp3;322009;3403
